demand,trans,freq
0.020000000000000018,0.02,0.175200079277062
0.020000000000000018,0.04,0.194022955496251
0.020000000000000018,0.06,0.210034341226311
0.020000000000000018,0.08,0.216178341935446
0.020000000000000018,0.1,0.217891543257458
0.015000000000000013,0.02,0.186341177766181
0.015000000000000013,0.04,0.205659044868959
0.015000000000000013,0.06,0.221461663275981
0.015000000000000013,0.08,0.22732684249506
0.015000000000000013,0.1,0.228862013197165
0.010000000000000009,0.02,0.197309028442369
0.010000000000000009,0.04,0.217093429363679
0.010000000000000009,0.06,0.232677601283839
0.010000000000000009,0.08,0.238224421015573
0.010000000000000009,0.1,0.239570360555923
0.0050000000000000044,0.02,0.20810852119002
0.0050000000000000044,0.04,0.228328327492868
0.0050000000000000044,0.06,0.243676457111199
0.0050000000000000044,0.08,0.251603262943945
0.0050000000000000044,0.1,0.255158390539329
0.0,0.02,0.218736812888473
0.0,0.04,0.239369440163713
0.0,0.06,0.261860552254007
0.0,0.08,0.273177151181059
0.0,0.1,0.276288066184421
